Date,Close
6/7/2017,85.55
6/8/2017,86.65
6/9/2017,83
6/12/2017,82.9
6/13/2017,86.85
6/14/2017,84.95
6/15/2017,84.95
6/16/2017,84.45
6/19/2017,86.7
6/20/2017,86.7
6/21/2017,87
6/22/2017,89.3
6/23/2017,90.45
6/26/2017,86.95
6/27/2017,84.75
6/28/2017,88.6
6/29/2017,85.95
6/30/2017,87.75
7/3/2017,87.05
7/5/2017,88.85
7/6/2017,86.4
7/7/2017,88.95
7/10/2017,86.35
7/11/2017,87
7/12/2017,87.3
7/13/2017,85.5
7/14/2017,86.5
7/17/2017,86.55
7/18/2017,85.8
7/19/2017,85.85
7/20/2017,84.65
7/21/2017,82
7/24/2017,84.4
7/25/2017,85.55
7/26/2017,84.95
7/27/2017,83.55
7/28/2017,84.45
7/31/2017,81.65
8/1/2017,80.8
8/2/2017,79.65
8/3/2017,80.1
8/4/2017,80.45
8/7/2017,83.2
8/8/2017,84.1
8/9/2017,88.05
8/10/2017,87.95
8/11/2017,86.65
8/14/2017,86.1
8/15/2017,85.6
8/16/2017,86
8/17/2017,84.35
8/18/2017,83.15
8/21/2017,84
8/22/2017,85
8/23/2017,85.5
8/24/2017,85.45
8/25/2017,85.75
8/28/2017,86.6
8/29/2017,85.8
8/30/2017,85
8/31/2017,86
9/1/2017,87.9
9/5/2017,87.5
9/6/2017,86.3
9/7/2017,86.9
9/8/2017,88.05
9/11/2017,87.8
9/12/2017,88.75
9/13/2017,88.15
9/14/2017,88.1
9/15/2017,88.3
9/18/2017,88.85
9/19/2017,89.45
9/20/2017,90
9/21/2017,89.3
9/22/2017,88.9
9/25/2017,87.3
9/26/2017,87.45
9/27/2017,89.6
9/28/2017,89.75
9/29/2017,90.3
10/2/2017,92.3
10/3/2017,91.6
10/4/2017,92.85
10/5/2017,93.2
10/6/2017,94.2
10/9/2017,93.05
10/10/2017,91.55
10/11/2017,91.9
10/12/2017,91.6
10/13/2017,92.1
10/16/2017,92.55
10/17/2017,93.55
10/18/2017,94.95
10/19/2017,95.2
